key,description,en,ru,es,it,de,nl,fr,pl
VPN,General,VPN,VPN,VPN,VPN,VPN,VPN,VPN,VPN
connection_test_error,xRay,Internet connection test failed: %s,Сбой проверки интернет-соединения: %s,Falló la prueba de conexión a Internet: %s,Test della connessione Internet non riuscito: %s,Internetverbindungstest fehlgeschlagen: %s,Internetverbindingstest mislukt: %s,Échec du test de connexion Internet : %s,Test połączenia internetowego nie powiódł się: %s
connection_test_available,xRay,Success: HTTP handshake took %d ms,Успешно: рукопожатие HTTP заняло %d мс,Éxito: el protocolo de enlace HTTP tardó %d ms,Operazione riuscita: l'handshake HTTP ha richiesto %d ms,Erfolg: HTTP-Handshake dauerte %d ms,Succes: HTTP-handshake duurde %d ms,Succès : la négociation HTTP a pris %d ms,Sukces: uzgadnianie HTTP trwało %d ms
notification_action_stop_v2ray,xRay,Stop,Остановить,Detener,Fermare,Stopp,Stop,Arrêter,Zatrzymaj
app_tile_name,xRay,EasyLight,EasyLight,EasyLight,EasyLight,EasyLight,EasyLight,EasyLight,EasyLight
toast_incorrect_protocol,xRay,Incorrect protocol,Incorrect protocol,Protocolo incorrecto,Protocollo errato,Falsches Protokoll,Onjuist protocol,Protocole incorrect,Nieprawidłowy protokół
toast_permission_denied,xRay-Notifications,Unable to obtain the permission,Разрешение не получено,No se puede obtener el permiso,Impossibile ottenere l'autorizzazione,Die Berechtigung konnte nicht eingeholt werden,Kan de toestemming niet verkrijgen,Impossible d'obtenir l'autorisation,Nie można uzyskać pozwolenia
toast_permission_denied_notification,xRay-Notifications,Unable to obtain the notification permission,Разрешение на отображение уведомлений не получено,No se puede obtener el permiso de notificación,Impossibile ottenere l'autorizzazione alla notifica,Die Benachrichtigungsberechtigung konnte nicht eingeholt werden,Kan de meldingstoestemming niet verkrijgen,Impossible d'obtenir l'autorisation de notification,Nie można uzyskać pozwolenia na powiadomienie
notification_action_more,xRay-Notifications,Click for more,Ещё…,Haga clic para más,Fare clic per ulteriori informazioni,Klicken Sie für mehr,Klik voor meer,Cliquez pour en savoir plus,"Kliknij, aby uzyskać więcej"
toast_services_start,xRay-Notifications,Start Services,Запуск служб,Iniciar servicios,Avvia Servizi,Starten Sie Dienste,Diensten starten,Démarrer les services,Uruchom usługi
